<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<MA_8>,<MA_16>,<turn 8 5 3 6 0 False>,<turn 8 3 3 6 0 False>,<turn 16 8 8 0 10 False>,<MA_12>,<turn 12 5 3 6 0 False>,<turn 12 3 3 6 0 False>,<turn 8 5 3 6 10.0 False>,<turn 8 3 3 6 10.0 False>,<turn 12 5 3 6 10.0 False>,<turn 12 3 3 6 10.0 False>,<turn 16 5 3 6 10.0 False>,<turn 16 3 3 6 10.0 False>
2008-01-16 12:00:00,94.4398,95.4082,92.9404,92.9717,117940.0,95.82751999999999,96.51775,0.0,0.0,0.0,96.31508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16 16:00:00,92.9717,94.9396,92.9613,94.5127,153738.0,95.39773000000001,96.23868,0.0,0.0,0.0,95.95132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16 20:00:00,94.5127,95.075,94.3565,95.0229,6941.0,94.74263,95.80948000000001,0.0,0.0,0.0,95.39293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-17 00:00:00,95.0333,95.0333,94.6272,94.8459,1555.0,94.5636,95.58799,-94.5636,-94.5636,0.0,95.12955,0.0,0.0,-94.5636,-94.5636,0.0,0.0,0.0,0.0
2008-01-17 04:00:00,94.8459,95.1687,94.6481,95.1687,859.0,94.59512,95.44207,0.0,0.0,0.0,94.99366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-17 08:00:00,95.1687,95.4706,94.3878,95.2832,5220.0,94.5986,95.28711,0.0,0.0,0.0,94.86805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-17 12:00:00,95.2832,95.9808,93.9817,94.4502,80679.0,94.69318,95.18506,0.0,0.0,0.0,94.83348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-17 16:00:00,94.4502,94.5752,93.2528,93.9922,86317.0,94.82131,95.11355,94.82131,94.82131,0.0,94.85003,0.0,0.0,94.82131,94.82131,0.0,0.0,0.0,0.0
2008-01-17 20:00:00,94.0131,94.0236,93.4158,93.4368,2984.0,94.77445,94.96555,0.0,0.0,0.0,94.77233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18 00:00:00,93.4368,93.6568,93.3634,93.5835,833.0,94.64665,94.79285,0.0,0.0,0.0,94.64114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18 04:00:00,93.5835,94.1179,93.5416,94.0969,848.0,94.40264,94.58221,0.0,0.0,0.0,94.44091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18 08:00:00,94.0969,94.7047,93.7197,94.6837,8012.0,94.17831,94.42078000000001,0.0,0.0,0.0,94.28919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18 12:00:00,94.6837,95.1448,94.296,94.5894,59987.0,94.09388,94.35169,-94.09388,-94.09388,0.0,94.24292,-94.24292,-94.24292,-94.09388,-94.09388,-94.24292,-94.24292,0.0,0.0
2008-01-18 16:00:00,94.5894,94.6313,93.4787,94.2017,121161.0,94.16586,94.36213000000001,0.0,0.0,0.0,94.29892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18 20:00:00,94.2017,94.4008,94.055,94.2227,3275.0,94.22139,94.36779,0.0,0.0,0.0,94.3373,0.0,94.3373,0.0,0.0,0.0,94.3373,0.0,0.0
2008-01-21 04:00:00,94.537,94.5475,93.573,93.6149,1433.0,94.20685999999999,94.33424000000001,0.0,0.0,0.0,94.29528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-21 08:00:00,93.6568,93.6673,92.3365,92.6299,9563.0,94.29688,94.35077,94.29688,94.29688,0.0,94.30884,0.0,0.0,94.29688,94.29688,0.0,0.0,0.0,0.0
2008-01-21 12:00:00,92.6299,92.8186,92.3365,92.6823,12591.0,94.18889,94.2674,0.0,0.0,0.0,94.19335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-21 16:00:00,92.6823,92.7347,92.10600000000001,92.2108,10245.0,93.86259,94.06897,0.0,0.0,0.0,93.93512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-21 20:00:00,92.2108,92.2527,91.9488,92.1794,1311.0,93.57036,93.87921999999999,0.0,0.0,0.0,93.71749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-22 00:00:00,92.1584,92.1794,91.6031,91.8755,8312.0,93.19838,93.64746,0.0,0.0,0.0,93.46068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-22 04:00:00,91.88600000000001,91.88600000000001,90.2304,90.2408,8784.0,92.86714,93.43028000000001,0.0,0.0,0.0,93.22451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-22 08:00:00,90.2513,91.4144,89.5074,91.1525,18815.0,92.54552,93.20082,0.0,0.0,0.0,92.97021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-22 12:00:00,91.1525,93.0596,90.3456,92.8395,114715.0,91.93573,92.80319,0.0,0.0,0.0,92.4843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-22 16:00:00,92.8395,93.9188,92.4728,93.1958,137157.0,91.63594,92.54857,-91.63594,-91.63594,0.0,92.17976,0.0,0.0,-91.63594,-91.63594,0.0,0.0,0.0,0.0
2008-01-22 20:00:00,93.1958,93.4787,93.1224,93.3111,4121.0,91.80505,92.51666999999999,0.0,0.0,0.0,92.17251,-92.17251,-92.17251,0.0,0.0,-92.17251,-92.17251,-92.51666999999999,-92.51666999999999
2008-01-23 00:00:00,93.33200000000001,93.7092,93.2587,93.2796,1172.0,92.07604,92.53532,0.0,0.0,0.0,92.24371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-23 04:00:00,93.2796,93.3634,92.7452,93.3215,1963.0,92.36158,92.57177,0.0,0.0,0.0,92.35374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-23 08:00:00,93.3215,93.6149,91.7183,92.0117,13112.0,92.61743,92.60389,0.0,0.0,0.0,92.46685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-23 12:00:00,92.0222,92.6195,91.4249,91.8231,84709.0,92.8529,92.64695999999999,92.8529,92.8529,0.0,92.60253,92.60253,92.60253,92.8529,92.8529,92.60253,92.60253,92.64695999999999,92.64695999999999
2008-01-23 16:00:00,91.8336,92.0536,90.7962,91.12100000000001,130918.0,92.76732,92.54719,0.0,0.0,0.0,92.54262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-23 20:00:00,91.12100000000001,92.2318,91.0896,91.9384,9498.0,92.63606,92.4441,0.0,0.0,0.0,92.46148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24 00:00:00,91.9488,92.2108,91.7917,91.9174,1224.0,92.30248,92.27459,0.0,0.0,0.0,92.2816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24 04:00:00,91.9174,92.0432,91.7078,91.8965,1084.0,92.15374,92.22759,0.0,0.0,0.0,92.24303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24 08:00:00,91.8965,92.6614,91.6659,92.6195,7740.0,92.02275999999999,92.18945,0.0,0.0,0.0,92.20233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24 12:00:00,92.6195,92.8919,91.2677,91.4878,86629.0,91.92264,92.15409,0.0,0.0,0.0,92.15801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24 16:00:00,91.4878,93.7931,91.1734,93.6778,154337.0,92.02306999999999,92.20957,0.0,0.0,0.0,92.20382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24 20:00:00,93.6778,94.1808,93.6254,94.0969,7483.0,91.89035,92.12891,-91.89035,-91.89035,-92.12891,92.05672,-92.05672,-92.05672,-91.89035,-91.89035,-92.05672,-92.05672,-92.12891,-92.12891
2008-01-25 00:00:00,94.1074,94.1493,93.7721,94.1074,1064.0,92.29522,92.31081999999999,0.0,0.0,0.0,92.26387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25 04:00:00,94.1074,94.4846,93.9398,94.2436,1960.0,92.74958000000001,92.53009,0.0,0.0,0.0,92.53094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25 08:00:00,94.2436,94.7466,94.0131,94.4637,9079.0,93.14078,92.72102,0.0,0.0,0.0,92.78806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25 12:00:00,94.5161,95.7421,94.3589,95.0086,104813.0,93.47928,92.90623000000001,0.0,0.0,0.0,93.05553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25 16:00:00,95.0086,95.6582,93.9607,94.9143,157483.0,93.8146,93.11319,0.0,0.0,0.0,93.3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
